source,target
of,का
and,तथा
to,सेवा
a,ए
in,में
that,उस
I,मैं
was,था
he,वह
his,उनके
with,साथ में
is,है
it,यह
for,के लिये
as,जैसा
had,था
you,आप
not,नहीं
be,होना
on,पर
at,पर
by,द्वारा
her,उसके
which,कौन कौन से
have,है
or,या
from,से
this,यह
but,परंतु
all,सब
him,उसे
she,वह
were,थे
they,वे
my,मेरे
are,कर रहे हैं
so,इसलिए
me,मुझे
their,जो अपने
an,एक
one,एक
de,डे
we,हम
who,who
would,चाहेंगे
said,कहा हुआ
been,गया
no,नहीं
He,वह
will,मर्जी
them,उन्हें
when,कब
if,अगर
there,वहाँ
more,अधिक
out,बाहर
And,तथा
It,यह
any,कोई भी
up,यूपी
into,जांच
your,तुम्हारी
has,है
do,कर
what,क्या
could,सकता है
but,परंतु
our,हमारी
than,से
other,अन्य
some,कुछ
very,बहुत
man,आदमी
upon,के ऊपर
about,के बारे में
its,आईटी इस
only,केवल
time,समय
may,मई
la,ला
like,पसंद
little,थोड़ा
then,फिर
now,अभी
should,चाहिए
can,कर सकते हैं
made,बनाया गया
did,किया
such,ऐसा
A,ए
great,महान
In,में
must,जरूर
these,इन
two,दो
before,इससे पहले
see,देख
us,अमेरिका
over,ऊपर
et,एट
much,बहुत
know,जानना
after,उपरांत
she,वह
first,प्रथम
i,मैं
good,अच्छा
Mr,श्री
down,नीचे
never,कभी नहीँ
most,अधिकांश
You,आप
where,कहाँ पे
those,उन
old,पुराना
men,पुरुषों
own,अपना
shall,करेगा
le,ले
came,आया
Project,परियोजना
without,के बिना
come,आइए
make,बनाना
This,यह
being,किया जा रहा है
day,दिन
might,पराक्रम
long,लंबा
through,के माध्यम से
himself,स्वयं
work,काम
how,किस तरह
go,जाओ
am,बजे
If,अगर
way,मार्ग
en,एन
even,यहाँ तक की
que,कुए
many,अनेक
well,कुंआ
say,कहो
They,वे
it,यह
every,हर एक
We,हम
too,बहुत
think,सोच
under,के अंतर्गत
life,जिंदगी
went,चला गया
back,वापस
same,वही
There,वहाँ
last,पिछले
